# 1:r 2:z 3:nm 4:na 5:Em 6:Ea
169.46 -56.81 0.00e+00 0.00e+00 0.00e+00 0.00e+00
165.87 -64.92 0.00e+00 0.00e+00 0.00e+00 0.00e+00
162.37 -72.44 0.00e+00 2.19e+07 0.00e+00 0.00e+00
159.03 -79.41 0.00e+00 2.37e+07 0.00e+00 0.00e+00
155.69 -86.37 0.00e+00 1.60e+08 0.00e+00 0.00e+00
153.74 -90.43 0.00e+00 0.00e+00 0.00e+00 0.00e+00
152.82 -92.36 0.00e+00 0.00e+00 0.00e+00 0.00e+00
152.00 -94.09 0.00e+00 0.00e+00 0.00e+00 0.00e+00
151.06 -96.07 0.00e+00 7.16e+09 0.00e+00 0.00e+00
150.25 -97.80 0.00e+00 0.00e+00 0.00e+00 0.00e+00
149.46 -99.50 0.00e+00 1.48e+09 0.00e+00 0.00e+00
148.49 -101.59 0.00e+00 1.26e+10 0.00e+00 0.00e+00
147.46 -103.85 0.00e+00 0.00e+00 0.00e+00 0.00e+00
146.49 -105.99 0.00e+00 0.00e+00 0.00e+00 0.00e+00
144.94 -109.43 0.00e+00 0.00e+00 0.00e+00 0.00e+00

169.83 -56.89 0.00e+00 0.00e+00 0.00e+00 0.00e+00
166.29 -65.02 0.00e+00 0.00e+00 0.00e+00 0.00e+00
162.84 -72.55 0.00e+00 2.19e+07 0.00e+00 0.00e+00
159.55 -79.54 0.00e+00 2.37e+07 0.00e+00 0.00e+00
156.24 -86.51 0.00e+00 1.60e+08 0.00e+00 0.00e+00
154.32 -90.58 0.00e+00 0.00e+00 0.00e+00 0.00e+00
153.42 -92.51 0.00e+00 0.00e+00 0.00e+00 0.00e+00
152.61 -94.24 0.00e+00 0.00e+00 0.00e+00 0.00e+00
151.68 -96.22 0.00e+00 7.18e+09 0.00e+00 0.00e+00
150.88 -97.96 0.00e+00 0.00e+00 0.00e+00 0.00e+00
150.11 -99.65 0.00e+00 0.00e+00 0.00e+00 0.00e+00
149.15 -101.74 0.00e+00 1.18e+10 0.00e+00 0.00e+00
148.14 -103.98 0.00e+00 2.56e+09 0.00e+00 0.00e+00
147.19 -106.10 0.00e+00 0.00e+00 0.00e+00 0.00e+00
145.93 -108.95 0.00e+00 0.00e+00 0.00e+00 0.00e+00

170.21 -56.97 0.00e+00 0.00e+00 0.00e+00 0.00e+00
166.72 -65.12 0.00e+00 0.00e+00 0.00e+00 0.00e+00
163.32 -72.66 0.00e+00 2.19e+07 0.00e+00 0.00e+00
160.07 -79.66 0.00e+00 2.37e+07 0.00e+00 0.00e+00
156.82 -86.64 0.00e+00 1.60e+08 0.00e+00 0.00e+00
154.92 -90.71 0.00e+00 0.00e+00 0.00e+00 0.00e+00
154.03 -92.63 0.00e+00 0.00e+00 0.00e+00 0.00e+00
153.23 -94.37 0.00e+00 0.00e+00 0.00e+00 0.00e+00
152.32 -96.35 0.00e+00 7.24e+09 0.00e+00 0.00e+00
151.54 -98.07 0.00e+00 0.00e+00 0.00e+00 0.00e+00
150.77 -99.76 0.00e+00 0.00e+00 0.00e+00 0.00e+00
149.84 -101.83 0.00e+00 1.04e+10 0.00e+00 0.00e+00
148.85 -104.05 0.00e+00 1.34e+09 0.00e+00 0.00e+00
147.95 -106.10 0.00e+00 3.17e+09 0.00e+00 0.00e+00
146.91 -108.47 0.00e+00 3.17e+09 0.00e+00 0.00e+00

170.60 -57.05 0.00e+00 0.00e+00 0.00e+00 0.00e+00
167.16 -65.20 0.00e+00 0.00e+00 0.00e+00 0.00e+00
163.81 -72.76 0.00e+00 2.19e+07 0.00e+00 0.00e+00
160.61 -79.77 0.00e+00 2.37e+07 0.00e+00 0.00e+00
157.40 -86.75 0.00e+00 1.60e+08 0.00e+00 0.00e+00
155.53 -90.82 0.00e+00 0.00e+00 0.00e+00 0.00e+00
154.66 -92.74 0.00e+00 0.00e+00 0.00e+00 0.00e+00
153.87 -94.47 0.00e+00 0.00e+00 0.00e+00 0.00e+00
152.98 -96.44 0.00e+00 7.31e+09 0.00e+00 0.00e+00
152.21 -98.16 0.00e+00 0.00e+00 0.00e+00 0.00e+00
151.46 -99.83 0.00e+00 0.00e+00 0.00e+00 0.00e+00
150.56 -101.88 0.00e+00 1.08e+10 0.00e+00 0.00e+00
149.61 -104.04 0.00e+00 0.00e+00 0.00e+00 0.00e+00
148.76 -106.00 0.00e+00 1.82e+08 0.00e+00 0.00e+00
147.90 -107.98 0.00e+00 1.82e+08 0.00e+00 0.00e+00

170.99 -57.12 0.00e+00 0.00e+00 0.00e+00 0.00e+00
167.61 -65.29 0.00e+00 0.00e+00 0.00e+00 0.00e+00
164.31 -72.85 0.00e+00 2.19e+07 0.00e+00 0.00e+00
161.16 -79.87 0.00e+00 2.37e+07 0.00e+00 0.00e+00
158.00 -86.84 0.00e+00 1.60e+08 0.00e+00 0.00e+00
156.16 -90.90 0.00e+00 4.97e+09 0.00e+00 0.00e+00
155.30 -92.82 0.00e+00 0.00e+00 0.00e+00 0.00e+00
154.53 -94.54 0.00e+00 0.00e+00 0.00e+00 0.00e+00
153.66 -96.50 0.00e+00 3.17e+09 0.00e+00 0.00e+00
152.91 -98.21 0.00e+00 4.06e+09 0.00e+00 0.00e+00
152.18 -99.86 0.00e+00 0.00e+00 0.00e+00 0.00e+00
151.30 -101.87 0.00e+00 1.12e+10 0.00e+00 0.00e+00
150.39 -103.97 0.00e+00 0.00e+00 0.00e+00 0.00e+00
149.60 -105.81 0.00e+00 0.00e+00 0.00e+00 0.00e+00
148.89 -107.49 0.00e+00 0.00e+00 0.00e+00 0.00e+00

171.38 -57.18 0.00e+00 0.00e+00 0.00e+00 0.00e+00
168.06 -65.36 0.00e+00 0.00e+00 0.00e+00 0.00e+00
164.81 -72.94 0.00e+00 2.19e+07 0.00e+00 0.00e+00
161.71 -79.95 0.00e+00 2.37e+07 0.00e+00 0.00e+00
158.61 -86.92 0.00e+00 1.60e+08 0.00e+00 0.00e+00
156.80 -90.97 0.00e+00 8.68e+09 0.00e+00 0.00e+00
155.96 -92.88 0.00e+00 0.00e+00 0.00e+00 0.00e+00
155.21 -94.59 0.00e+00 0.00e+00 0.00e+00 0.00e+00
